Class_Label,Text
Normal,"Imelda, Please switch my sitara access from central to west and email me with my password. thank you, Phillip"
Normal,Try again. The attachment was not attached.
Normal,"Frank, The implied risk created by the san juan and rockies indeces being partially set after today is the same as the risk in a long futures position. Whatever the risk was prior should not matter. Since the rest of the books are very short price this should be a large offset. If the VAR calculation does not match the company's true risk then it needs to be revised or adjusted. Phillip"
Normal,"Mary, I transferred $10,000 out of the checking account on Monday 2/28/00. I will call you Monday or Tuesday to see what is new. Phillip"
Normal,"Jeff, Let's just close on March 1. Phillip"
Normal,---------------------- Forwarded by John Arnold/HOU/ECT on 10/25/2000 11:34 AM --------------------------- Lauren Urquhart 10/25/2000 11:23 AM To: John Arnold/HOU/ECT@ECT cc: Subject: Your Brother John I am the assistant to John Sherriff. John mentioned t
Normal,"Welcome back to my old friends and I look forward to meeting my first-timers. I will set up a meeting with you between now and December 13th. I will also talk to your current supervisor/ direct report during this same period. Please complete your Reviewer Suggestion List now and bother your supervisor to go into PEP and approve it. I will want a personal profile from each of you with the following; Education Brief job history (non-ene) Rotations at Enron and to whom you reported Current job description (projects underway, etc.) Accomplishments this year (include 1st half) You only need to get me this information the day before we meet, but for those over-achievers, or over-worriers, I wanted to give you time to work on it."
Normal,"According to our system records, you have not yet logged into the Enron Performance Management system (PEP). As a result your temporary password for the PEP system has expired. Your User Id and new password are provided below. During the feedback phase you will need to access PEP at http://pep.corp.enron.com to suggest reviewers who can provide feedback on your performance. You may also be requested to provide feedback on fellow employees, but the system will only be open for feedback until November 17th! HelpDesk representatives will be available to answer questions throughout the process. You may contact the HelpDesk at: Houston: 1-713-853-4777, Option 4 London: 44-207-783-4040, Option 4 E-mail: perfmgmt@enron.com Your User Id and new PEP password are: User ID: 90007572 Password: QVKMKYPQ"
Normal,what is your home phone #?
Normal,"Hi Guys. We intend to decorated the home and tree this Sunday, if you guys can join us. Here is the deal. We will order Chinese food from Fungs Kitchen on the SW freeway, Shanna and Eric can pick it up, I will pay, everyone be here early p.m., eat around 4-5, put the decorations up, have a good time. Any takers? Let me hear from you.-Dad"
Normal,"---------------------- Forwarded by Eric Bass/HOU/ECT on 07/13/2000 10:36 AM --------------------------- Enron North America Corp. From: Eric Bass 07/12/2000 12:53 PM To: Brenda F Herod/HOU/ECT@ECT, Steve Venturatos/HOU/ECT@ECT cc: Subject: Updated Info"
Normal,"---------------------- Forwarded by Eric Bass/HOU/ECT on 11/29/2000 04:42 PM --------------------------- Susan M Scott 11/29/2000 04:28 PM To: cscott_korea@yahoo.com, tdkelley@ev1.net, Errol McLaughlin/Corp/Enron@ENRON, celeahy@hotmail.com, d.epperson@mai"
Normal,"---------------------- Forwarded by Eric Bass/HOU/ECT on 11/29/2000 04:39 PM --------------------------- Susan M Scott 11/29/2000 04:28 PM To: cscott_korea@yahoo.com, tdkelley@ev1.net, Errol McLaughlin/Corp/Enron@ENRON, celeahy@hotmail.com, d.epperson@mai"
Normal,"---------------------- Forwarded by Susan M Scott/HOU/ECT on 11/29/2000 04:25 PM --------------------------- Enron Capital & Trade Resources Corp. From: Mason Hamlin 11/29/2000 04:18 PM To: Nick Hiemstra/HOU/ECT@ECT, Joseph Piotrowski/NA/Enron@Enron, John"
Normal,The Democrats just keep giving and giving to the honor and prestige of the office of the President of the United States. _______ Get more from the Web. FREE MSN Explorer download : http://explorer.msn.com
Normal,The Democrats just keep giving and giving to the honor and prestige of the office of the President of the United States. _______ Get more from the Web. FREE MSN Explorer download : http://explorer.msn.com - Democratic Seal.jpg
